[2023-11-26 14:38:06.782] [7763:8189006592] [INFO] [MainThread -> app] STARTUP
[2023-11-26 14:38:15.206] [7763:6113538048] [INFO] [engine -> app] engine started
[2023-11-26 14:38:15.206] [7763:6137344000] [INFO] [strategy_sma_btc -> app] strategy_sma_btc started
[2023-11-26 14:38:15.206] [7763:6154170368] [INFO] [strategy_strat1_btc -> app] strategy_strat1_btc started
[2023-11-26 14:38:15.206] [7763:6170996736] [INFO] [gateway_alpaca -> app] gateway_alpaca starting
[2023-11-26 14:39:00.293] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37444.241, high=37467.98, low=37444.241, close=37467.3, volume=0.0, ts=2023-11-26 20:38:00+00:00)
[2023-11-26 14:40:00.465] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37459.335, high=37460.9375, low=37459.335, close=37460.9375, volume=0.0, ts=2023-11-26 20:39:00+00:00)
[2023-11-26 14:41:00.175] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37469.68, high=37469.68, low=37469.68, close=37469.68, volume=0.0, ts=2023-11-26 20:40:00+00:00)
[2023-11-26 14:43:00.447] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37487.4075, high=37490.8065, low=37487.4075, close=37490.8065, volume=0.0, ts=2023-11-26 20:42:00+00:00)
[2023-11-26 14:46:00.526] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37504.68, high=37504.68, low=37495.907, close=37495.907, volume=0.0, ts=2023-11-26 20:45:00+00:00)
[2023-11-26 14:47:00.511] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37517.3, high=37626.795, low=37503.75, close=37598.2, volume=2.6479e-05, ts=2023-11-26 20:46:00+00:00)
[2023-11-26 14:48:01.178] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37614.45, high=37614.45, low=37614.45, close=37614.45, volume=0.0, ts=2023-11-26 20:47:00+00:00)
[2023-11-26 14:49:00.553] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37622.8785, high=37635.063, low=37604.472, close=37635.063, volume=0.0, ts=2023-11-26 20:48:00+00:00)
[2023-11-26 14:50:00.328] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37632.3, high=37632.3, low=37632.3, close=37632.3, volume=0.0, ts=2023-11-26 20:49:00+00:00)
[2023-11-26 14:51:00.376] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37622.5, high=37633.4, low=37622.5, close=37633.4, volume=0.0, ts=2023-11-26 20:50:00+00:00)
[2023-11-26 14:52:00.447] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37641.28, high=37660.566, low=37629.0975, close=37629.0975, volume=0.186027006, ts=2023-11-26 20:51:00+00:00)
[2023-11-26 14:53:00.345] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37630.84, high=37660.87, low=37630.84, close=37660.87, volume=0.0, ts=2023-11-26 20:52:00+00:00)
[2023-11-26 14:54:00.428] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37643.595, high=37643.595, low=37605.9895, close=37605.9895, volume=0.0, ts=2023-11-26 20:53:00+00:00)
[2023-11-26 14:55:00.239] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37619.65, high=37619.65, low=37619.65, close=37619.65, volume=0.0, ts=2023-11-26 20:54:00+00:00)
[2023-11-26 14:56:00.536] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37597.7285, high=37597.7285, low=37583.045, close=37583.045, volume=0.0, ts=2023-11-26 20:55:00+00:00)
[2023-11-26 14:57:00.314] [7763:6137344000] [DEBUG] [strategy_sma_btc -> app] strategy processing bar: Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37570.55, high=37597.595, low=37570.55, close=37597.595, volume=0.0, ts=2023-11-26 20:56:00+00:00)
