[2023-11-28 15:54:50.891] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.4068@2054.422, ask=4.33476@2056.384, ts=2023-11-28 21:54:51.014739+00:00)
[2023-11-28 15:54:50.896] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7117@2054.0, ask=4.33476@2056.384, ts=2023-11-28 21:54:51.016527+00:00)
[2023-11-28 15:54:50.898] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7117@2054.0, ask=13.056@2057.032, ts=2023-11-28 21:54:51.016603+00:00)
[2023-11-28 15:54:50.900] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7117@2054.0, ask=8.7102@2055.37, ts=2023-11-28 21:54:51.016784+00:00)
[2023-11-28 15:54:50.902] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.41094@2053.84, ask=8.7102@2055.37, ts=2023-11-28 21:54:51.018008+00:00)
[2023-11-28 15:54:59.860] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=ETH/USD, open=2054.2385, high=2055.181, low=2054.2385, close=2055.181, volume=0.0, ts=2023-11-28 21:54:00+00:00)
[2023-11-28 15:55:01.150] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37969.435, high=37973.305, low=37969.435, close=37973.305, volume=0.0, ts=2023-11-28 21:54:00+00:00)
[2023-11-28 15:55:03.105] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55456@37950.4, ask=0.27999@37993.91, ts=2023-11-28 21:55:03.246172+00:00)
[2023-11-28 15:55:03.110] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55456@37950.4, ask=0.55961@37991.0, ts=2023-11-28 21:55:03.246531+00:00)
[2023-11-28 15:55:03.112] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55456@37950.4, ask=0.27788@37982.3, ts=2023-11-28 21:55:03.248108+00:00)
[2023-11-28 15:55:03.113] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.28001@37931.27, ask=0.27788@37982.3, ts=2023-11-28 21:55:03.248277+00:00)
[2023-11-28 15:55:03.122] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.560762@37941.619, ask=0.27788@37982.3, ts=2023-11-28 21:55:03.249026+00:00)
[2023-11-28 15:55:20.913] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.56002@37940.095, ask=0.27788@37982.3, ts=2023-11-28 21:55:21.056184+00:00)
[2023-11-28 15:55:20.924] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27676@37956.01, ask=0.27788@37982.3, ts=2023-11-28 21:55:21.056929+00:00)
[2023-11-28 15:55:20.935] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27676@37956.01, ask=0.55181@37991.7, ts=2023-11-28 21:55:21.059103+00:00)
[2023-11-28 15:55:23.764] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27676@37956.01, ask=0.55427@37983.3, ts=2023-11-28 21:55:23.906574+00:00)
[2023-11-28 15:55:23.770] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.56002@37940.095, ask=0.55427@37983.3, ts=2023-11-28 21:55:23.906840+00:00)
[2023-11-28 15:55:23.773] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27571@37951.63, ask=0.55427@37983.3, ts=2023-11-28 21:55:23.906918+00:00)
[2023-11-28 15:55:39.777] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.41094@2053.84, ask=4.3512@2055.672, ts=2023-11-28 21:55:39.874906+00:00)
[2023-11-28 15:55:39.783] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.33631@2053.89, ask=4.3512@2055.672, ts=2023-11-28 21:55:39.874963+00:00)
[2023-11-28 15:55:39.787] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.33631@2053.89, ask=4.402@2056.1, ts=2023-11-28 21:55:39.875982+00:00)
[2023-11-28 15:55:42.727] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55061@37954.84, ask=0.55427@37983.3, ts=2023-11-28 21:55:42.861639+00:00)
[2023-11-28 15:55:42.764] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2772@37964.213, ask=0.55427@37983.3, ts=2023-11-28 21:55:42.864374+00:00)
[2023-11-28 15:55:42.769] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.2772@37964.213, ask=0.275943@37995.02, ts=2023-11-28 21:55:42.864603+00:00)
[2023-11-28 15:55:54.457] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7473@2053.15, ask=4.402@2056.1, ts=2023-11-28 21:55:54.591189+00:00)
[2023-11-28 15:55:54.466] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.37336@2054.3, ask=4.402@2056.1, ts=2023-11-28 21:55:54.591474+00:00)
[2023-11-28 15:55:54.471] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.37336@2054.3, ask=4.4032@2056.4, ts=2023-11-28 21:55:54.592006+00:00)
[2023-11-28 15:55:54.489] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.792@2054.812, ask=4.4032@2056.4, ts=2023-11-28 21:55:54.595253+00:00)
[2023-11-28 15:55:59.845] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=BTC/USD, open=37961.9595, high=37979.6165, low=37961.9595, close=37979.6165, volume=0.0, ts=2023-11-28 21:55:00+00:00)
[2023-11-28 15:56:00.531] [44621:6383955968] [INFO] [gateway_alpaca -> data] Bar (venue=Venue.ALPACA, symbol=ETH/USD, open=2055.606, high=2055.606, low=2055.606, close=2055.606, volume=0.0, ts=2023-11-28 21:55:00+00:00)
[2023-11-28 15:56:09.292] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.55061@37954.84, ask=0.275943@37995.02, ts=2023-11-28 21:56:09.363194+00:00)
[2023-11-28 15:56:09.298] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835908@37943.9, ask=0.275943@37995.02, ts=2023-11-28 21:56:09.363289+00:00)
[2023-11-28 15:56:09.302] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.557153@37972.4, ask=0.275943@37995.02, ts=2023-11-28 21:56:09.363294+00:00)
[2023-11-28 15:56:09.306] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.557153@37972.4, ask=0.276524@38004.69, ts=2023-11-28 21:56:09.364734+00:00)
[2023-11-28 15:56:21.692] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.7124@2054.63, ask=4.4032@2056.4, ts=2023-11-28 21:56:21.798952+00:00)
[2023-11-28 15:56:21.702] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=4.4032@2056.4, ts=2023-11-28 21:56:21.798964+00:00)
[2023-11-28 15:56:21.708] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=21.839@2057.2, ts=2023-11-28 21:56:21.798968+00:00)
[2023-11-28 15:56:21.718] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=8.752@2057.2, ts=2023-11-28 21:56:21.800366+00:00)
[2023-11-28 15:56:21.723] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=8.684@2057.7, ts=2023-11-28 21:56:21.800972+00:00)
[2023-11-28 15:56:23.806] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27512@37967.955, ask=0.276524@38004.69, ts=2023-11-28 21:56:23.938631+00:00)
[2023-11-28 15:56:23.813] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27868@37989.497, ask=0.276524@38004.69, ts=2023-11-28 21:56:23.938656+00:00)
[2023-11-28 15:56:23.818] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.27868@37989.497, ask=0.2805@38026.685, ts=2023-11-28 21:56:23.938727+00:00)
[2023-11-28 15:56:39.320] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835814@37982.635, ask=0.2805@38026.685, ts=2023-11-28 21:56:39.462892+00:00)
[2023-11-28 15:56:39.324] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835814@37982.635, ask=0.559537@38031.6, ts=2023-11-28 21:56:39.462915+00:00)
[2023-11-28 15:56:39.328] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.279492@37992.054, ask=0.559537@38031.6, ts=2023-11-28 21:56:39.463706+00:00)
[2023-11-28 15:56:39.343] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.279492@37992.054, ask=0.275476@38033.034, ts=2023-11-28 21:56:39.463820+00:00)
[2023-11-28 15:56:44.176] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=4.35719@2057.784, ts=2023-11-28 21:56:44.327279+00:00)
[2023-11-28 15:56:44.179] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=4.38013@2055.3, ask=4.3581@2057.38, ts=2023-11-28 21:56:44.327462+00:00)
[2023-11-28 15:56:44.181] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=ETH/USD, bid=8.76435@2055.7, ask=4.3581@2057.38, ts=2023-11-28 21:56:44.327918+00:00)
[2023-11-28 15:56:58.646] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835814@37982.635, ask=0.275476@38033.034, ts=2023-11-28 21:56:58.769977+00:00)
[2023-11-28 15:56:58.656] [44621:6383955968] [INFO] [gateway_alpaca -> data] Quote (venue=Venue.ALPACA, symbol=BTC/USD, bid=0.835814@37982.635, ask=0.8303@38047.089, ts=2023-11-28 21:56:58.770074+00:00)
